ID,AREA,DEPENDENCIA,DEPENDENCIA SIMPLIF,NOMBRE ESTABLECIMIENTO,NOMBRE + OTRAS DENOMINACIONES,PROVINCIA,MUNICIPIO / DEPARTAMENTO,LOCALIDAD,DIRECCIÓN,DIRECCIÓN CONCAT,OBS,PÁG PDF,LATITUD,LONGITUD
282,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 1ª DE CAPITAL FEDERAL ,COMISARIA 1ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,LAVALLE 451 ,"COMISARIA 1ª DE CAPITAL FEDERAL , LAVALLE 451 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6020131,-58.3732163
125,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 22ª DE CAPITAL FEDERAL ,COMISARIA 22ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Av. ING. HUERGO 640 ,"COMISARIA 22ª DE CAPITAL FEDERAL , Av. ING. HUERGO 640 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6149636,-58.3665986
528,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 2ª DE CAPITAL FEDERAL ,COMISARIA 2ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,PERU 1050 ,"COMISARIA 2ª DE CAPITAL FEDERAL , PERU 1050 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6202307,-58.3741163
1123,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 3ª DE CAPITAL FEDERAL ,COMISARIA 3ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,TUCUMAN 1560 ,"COMISARIA 3ª DE CAPITAL FEDERAL , TUCUMAN 1560 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6033,-58.4040604
417,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 4ª DE CAPITAL FEDERAL ,COMISARIA 4ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,TACUARI 770 ,"COMISARIA 4ª DE CAPITAL FEDERAL , TACUARI 770 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.617145,-58.3787233
411,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 5ª DE CAPITAL FEDERAL ,COMISARIA 5ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,LAVALLE 1958 ,"COMISARIA 5ª DE CAPITAL FEDERAL , LAVALLE 1958 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.603326,-58.3947546
327,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 6ª DE CAPITAL FEDERAL ,COMISARIA 6ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,VENEZUELA 1931 ,"COMISARIA 6ª DE CAPITAL FEDERAL , VENEZUELA 1931 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6149266,-58.3936062
1046,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 8ª DE CAPITAL FEDERAL ,COMISARIA 8ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,GRAL. URQUIZA 550 ,"COMISARIA 8ª DE CAPITAL FEDERAL , GRAL. URQUIZA 550 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6238764,-58.4091441
728,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,DEPARTAMENTO CENTRAL DE LA POLICIA FEDERAL ARGENTINA,DEPARTAMENTO CENTRAL DE LA POLICIA FEDERAL ARGENTINA,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,MORENO 1550,"DEPARTAMENTO CENTRAL DE LA POLICIA FEDERAL ARGENTINA, MORENO 1550, CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",UNIDAD DE COMANDO AREAA I - DPTO. CENTRAL DE POLICIA FEDERAL (pisos 3º y 4º),1,-34.6126617,-58.3882007
167,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,GARAJE AZOPARDO,GARAJE AZOPARDO,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,AZOPARDO 650,"GARAJE AZOPARDO, AZOPARDO 650, CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",Sitio señalizado el 29/03/2012 (placa),1,-34.6149145,-58.3671749
1267,1,UNIDAD MILITAR FUERZA AEREA,FUERZA AÉREA,SERVICIO DE INTELIGENCIA DE LA FUERZA AEREA (SIFA),SERVICIO DE INTELIGENCIA DE LA FUERZA AEREA (SIFA),CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,RIOBAMBA 707,"SERVICIO DE INTELIGENCIA DE LA FUERZA AEREA (SIFA), RIOBAMBA 707, CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6006688,-58.3941598
226,1,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,SUPERINTENDENCIA DE SEGURIDAD FEDERAL (COORDINACION FEDERAL),SUPERINTENDENCIA DE SEGURIDAD FEDERAL (COORDINACION FEDERAL),CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,MORENO 1417,"SUPERINTENDENCIA DE SEGURIDAD FEDERAL (COORDINACION FEDERAL), MORENO 1417, CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,1,-34.6121589,-58.3864634
228,1,VIVIENDA O SIMILAR / PARTICULAR,OTROS,VIRREY CEVALLOS (SERVICIO DE INTELIGENCIA AERONAUTICA) - LA CLOACA,VIRREY CEVALLOS (SERVICIO DE INTELIGENCIA AERONAUTICA) - LA CLOACA,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,VIRREY CEVALLOS 628/636 ,"VIRREY CEVALLOS (SERVICIO DE INTELIGENCIA AERONAUTICA) - LA CLOACA, VIRREY CEVALLOS 628/636 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",ESPACIO DE MEMORIA creado en 2004 (inaugurado en 2005),2,-34.6213816,-58.3887577
1276,2,UNIDAD PENITENCIARIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,"BUQUE-CARCEL ""GRANADERO""","BUQUE-CARCEL ""GRANADERO""/ UNIDAD PENAL 8 (1972-1973) ",CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Dársena Norte (sección 6ª) ,"BUQUE-CARCEL ""GRANADERO""/ UNIDAD PENAL 8 (1972-1973) , Dársena Norte (sección 6ª) , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.5957642,-58.3665159
109,2,UNIDAD MILITAR EJERCITO,EJÉRCITO,COMANDO DE CUERPO DE EJERCITO I ,"COMANDO DE CUERPO DE EJERCITO I / REGIMIENTO DE INFANTERIA 1 ""PATRICIOS"" ",CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Av. SANTA FE 4815 / Av. INT. BULLRICH 481 ,"COMANDO DE CUERPO DE EJERCITO I / REGIMIENTO DE INFANTERIA 1 ""PATRICIOS"" , Av. SANTA FE 4815 / Av. INT. BULLRICH 481 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",UNIDAD DE COMANDO ZONA 1 / UNIDAD DE COMANDO AREA AII,2,-34.5755155,-58.4274124
122,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 11ª DE CAPITAL FEDERAL ,COMISARIA 11ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Av. DIAZ VELEZ 5152 (o 4633) ,"COMISARIA 11ª DE CAPITAL FEDERAL , Av. DIAZ VELEZ 5152 (o 4633) , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.6090641,-58.4394074
123,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 17ª DE CAPITAL FEDERAL ,COMISARIA 17ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Av. LAS HERAS 1861 ,"COMISARIA 17ª DE CAPITAL FEDERAL , Av. LAS HERAS 1861 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.591152,-58.3922906
274,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 19ª DE CAPITAL FEDERAL ,COMISARIA 19ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,CHARCAS 2844 ,"COMISARIA 19ª DE CAPITAL FEDERAL , CHARCAS 2844 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.5940608,-58.4066492
576,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 21ª DE CAPITAL FEDERAL ,COMISARIA 21ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,JULIAN ALVAREZ 2373 ,"COMISARIA 21ª DE CAPITAL FEDERAL , JULIAN ALVAREZ 2373 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.5877618,-58.4161029
328,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 23ª DE CAPITAL FEDERAL ,COMISARIA 23ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,Av. SANTA FE 4000 ,"COMISARIA 23ª DE CAPITAL FEDERAL , Av. SANTA FE 4000 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.582505,-58.4201145
126,2,DEPENDENCIA POLICIA FEDERAL,FUERZA DE SEGURIDAD FEDERAL,COMISARIA 29ª DE CAPITAL FEDERAL ,COMISARIA 29ª DE CAPITAL FEDERAL ,CIUDAD AUTONOMA DE BUENOS AIRES,CIUDAD AUTONOMA DE BUENOS AIRES,,LOYOLA 1441 ,"COMISARIA 29ª DE CAPITAL FEDERAL , LOYOLA 1441 , CIUDAD AUTONOMA DE BUENOS AIRES, CIUDAD AUTONOMA DE BUENOS AIRES, ",,2,-34.5886167,-58.4425314
